n,win_rate,target_hit_rate,avg_return,median_return,max_return,min_return,avg_hold_days,ticker,target_pct,hold_days
28,71.4,39.3,4.97,6.92,10.56,-7.22,73.6,QQQ,10.0,60
27,70.4,0.0,5.06,6.72,16.08,-7.22,85.7,QQQ,20.0,60
37,86.5,86.5,8.63,11.1,16.33,-27.54,34.3,TQQQ,10.0,60
30,73.3,56.7,9.88,20.08,24.56,-27.54,58.4,TQQQ,20.0,60
33,84.8,78.8,8.73,11.64,27.94,-41.03,42.8,NVDA,10.0,60
27,77.8,48.1,11.89,19.17,30.53,-41.03,63.7,NVDA,20.0,60
15,73.3,73.3,4.82,11.04,16.2,-25.49,30.3,PLTR,10.0,60
9,33.3,33.3,2.71,-4.97,39.91,-23.26,66.3,PLTR,20.0,60
