Price,TQQQ
Ticker,TQQQ
Date,
2011-01-03,0.3834787905216217
2011-01-04,0.38288334012031555
2011-01-05,0.39238590002059937
2011-01-06,0.39593398571014404
2011-01-07,0.3950154483318329
2011-01-10,0.39945724606513977
2011-01-11,0.40129318833351135
2011-01-12,0.40943142771720886
2011-01-13,0.41072142124176025
2011-01-14,0.41962870955467224
2011-01-18,0.42297759652137756
2011-01-19,0.40881121158599854
2011-01-20,0.3996305763721466
2011-01-21,0.39050039649009705
2011-01-24,0.4066275954246521
2011-01-25,0.4080413579940796
2011-01-26,0.414368599653244
2011-01-27,0.42235735058784485
2011-01-28,0.39050039649009705
2011-01-31,0.3962816894054413
2011-02-01,0.41828814148902893
2011-02-02,0.416402667760849
2011-02-03,0.41801562905311584
2011-02-04,0.42555853724479675
2011-02-07,0.43173614144325256
2011-02-08,0.44094154238700867
2011-02-09,0.4382614195346832
2011-02-10,0.4403955936431885
2011-02-11,0.4494265913963318
2011-02-14,0.45225536823272705
2011-02-15,0.45108914375305176
2011-02-16,0.4594256281852722
2011-02-17,0.45902833342552185
2011-02-18,0.4564236104488373
2011-02-22,0.4162292778491974
2011-02-23,0.40595772862434387
2011-02-24,0.4117380678653717
2011-02-25,0.4293791651725769
2011-02-28,0.43250495195388794
2011-03-01,0.41171327233314514
2011-03-02,0.4175192415714264
2011-03-03,0.44242969155311584
2011-03-04,0.4358796179294586
2011-03-07,0.4185120165348053
2011-03-08,0.4228784441947937
2011-03-09,0.41434380412101746
2011-03-10,0.39538803696632385
2011-03-11,0.4019877016544342
2011-03-14,0.39806807041168213
2011-03-15,0.38179147243499756
2011-03-16,0.3537552058696747
2011-03-17,0.3629852831363678
2011-03-18,0.36099985241889954
2011-03-21,0.38114649057388306
2011-03-22,0.3801041841506958
2011-03-23,0.3858606219291687
2011-03-24,0.4068504273891449
2011-03-25,0.4098277986049652
2011-03-28,0.402881383895874
2011-03-29,0.41444292664527893
2011-03-30,0.42054611444473267
2011-03-31,0.42233261466026306
2011-04-01,0.42297759652137756
2011-04-04,0.4191570580005646
2011-04-05,0.4143933057785034
2011-04-06,0.4175192415714264
2011-04-07,0.41742026805877686
2011-04-08,0.41116830706596375
2011-04-11,0.4074459671974182
2011-04-12,0.3994077146053314
2011-04-13,0.4089350700378418
2011-04-14,0.40670183300971985
2011-04-15,0.4040723443031311
2011-04-18,0.3962816894054413
2011-04-19,0.4034273028373718
2011-04-20,0.4302726686000824
2011-04-21,0.441189169883728
2011-04-25,0.444463849067688
2011-04-26,0.4521057605743408
2011-04-27,0.46148449182510376
2011-04-28,0.4607900083065033
2011-04-29,0.45855677127838135
2011-05-02,0.4560757577419281
2011-05-03,0.44922757148742676
2011-05-04,0.44659796357154846
2011-05-05,0.439899206161499
2011-05-06,0.443719744682312
