Date,QQQ
2011-01-03,48.45282745361328
2011-01-04,48.417781829833984
2011-01-05,48.82951736450195
2011-01-06,48.98719787597656
2011-01-07,48.943389892578125
2011-01-10,49.12736511230469
2011-01-11,49.19743728637695
2011-01-12,49.54784393310547
2011-01-13,49.56536865234375
2011-01-14,49.93328857421875
2011-01-18,50.0734748840332
2011-01-19,49.504051208496094
2011-01-20,49.15365219116211
2011-01-21,48.77695846557617
2011-01-24,49.45149230957031
2011-01-25,49.52157974243164
2011-01-26,49.784385681152344
2011-01-27,50.09099197387695
2011-01-28,48.82073974609375
2011-01-31,49.05727767944336
2011-02-01,49.97709274291992
2011-02-02,49.898258209228516
2011-02-03,49.985862731933594
2011-02-04,50.266204833984375
2011-02-07,50.50271987915039
2011-02-08,50.835609436035156
2011-02-09,50.74799728393555
2011-02-10,50.82685089111328
2011-02-11,51.194766998291016
2011-02-14,51.31742477416992
2011-02-15,51.24732971191406
2011-02-16,51.58021926879883
2011-02-17,51.56269836425781
2011-02-18,51.44881057739258
2011-02-22,49.95956802368164
2011-02-23,49.54784393310547
2011-02-24,49.810665130615234
2011-02-25,50.50271987915039
2011-02-28,50.607845306396484
2011-03-01,49.79315185546875
2011-03-02,50.05593490600586
2011-03-03,51.04586410522461
2011-03-04,50.783042907714844
2011-03-07,50.09976577758789
2011-03-08,50.301231384277344
2011-03-09,49.95956802368164
2011-03-10,49.17992401123047
2011-03-11,49.48653030395508
2011-03-14,49.31132125854492
2011-03-15,48.61051559448242
2011-03-16,47.43662643432617
2011-03-17,47.8746452331543
2011-03-18,47.76675796508789
2011-03-21,48.6878662109375
2011-03-22,48.60015106201172
2011-03-23,48.872093200683594
2011-03-24,49.74057388305664
2011-03-25,49.863407135009766
2011-03-28,49.591453552246094
2011-03-29,50.07393264770508
2011-03-30,50.310791015625
2011-03-31,50.38098907470703
2011-04-01,50.40729522705078
2011-04-04,50.24061965942383
2011-04-05,50.10902786254883
2011-04-06,50.23186492919922
2011-04-07,50.1967658996582
2011-04-08,49.95988845825195
2011-04-11,49.793216705322266
2011-04-12,49.45106506347656
